LON,LAT,ANNUAL
-38.813,-4.369,4738
-40.706,-4.318,4835
-40.155,-4.336,5195
-38.932,-4.263,4709
-38.995,-4.303,4709
-38.882,-4.326,4422
-38.643,-4.290,4945
-38.501,-4.300,5167
-40.942,-4.160,5063
-40.748,-4.159,4782
-40.645,-4.240,4683
-40.474,-4.194,5129
-39.192,-4.226,5361
-38.922,-4.225,5089
-38.706,-4.221,4681
-3.873,-4.216,4681
-38.465,-4.172,5334
-38.127,-4.178,5704
-40.576,-4.142,5037
-3.924,-4.089,5200
-38.845,-4.139,5062
-38.489,-4.111,5404
-38.242,-4.130,5677
-40.860,-4.048,4679
-40.699,-3.984,4691
-40.749,-4.045,4691
-40.476,-3.951,5028
-39.580,-3.989,5127
-39.454,-4.044,5033
-38.619,-3.979,4776
-38.641,-404,4776
-38.530,-3.966,5125
-38.306,-4.016,5550
-40.921,-3.855,5171
-40.892,-3.924,4485
-4.075,-391,4748
-40.386,-3.918,4985
-39.436,-3.946,4963
-38.626,-3.867,4780
-38.683,-3.892,4780
-38.456,-3.893,5371
-38.390,-3.900,5309
-40.833,-3.768,4643
-40.264,-3.800,4989
-39.270,-3.793,5199
-40.349,-3.690,4900
-39.785,-3.748,4974
-39.586,-3.684,4659
-39.347,-3.677,5000
-39.239,-3.670,5097
-38.662,-3.728,5342
-38.543,-3.717,5485
-41.092,-3.567,4818
-40.654,-3.552,4872
-40.544,-3.584,4860
-39.968,-3.569,5095
-3.951,-3.624,4485
-3.897,-3.606,5524
-40.680,-3.467,5078
-40.453,-3.540,5125
-40.343,-352,4976
-40.209,-3.461,4963
-39.584,-3.500,5077
-40.467,-3.353,5094
-39.830,-3.363,5144
-39.148,-3.438,5300
-39.030,-3.415,5320
-40.559,-3.314,5064
-39.268,-3.270,5058
-4.070,-3.223,5043
-40.125,-3.229,4986
-4.083,-3.123,4893
-40.154,-3.121,5038
-41.244,-3.036,5116
-41.136,-3.021,5211
-40.168,-3.050,5128
-4.085,-2.899,4998
-4.045,-290,4851
-40.176,-2.919,5138
-40.119,-2.888,5138
-3.992,-2.925,5224
-47.930,-15.780,4895
-41.570,-21.153,4615
-41.673,-21.125,4557
-41.362,-21.063,4528
-41.047,-21.097,4790
-41.657,-21.030,4362
-41.346,-20.951,4412
-40.839,-21.040,4907
-41.199,-20.914,4739
-40.939,-20.856,4622
-41.674,-20.767,4361
-41.539,-20.759,4567
-41.395,-20.800,4722
-41.120,-20.847,4867
-40.814,-20.792,4213
-40.727,-20.834,4624
-40.643,-2.080,4941
-41.841,-20.694,4318
-41.007,-20.671,4446
-40.510,-20.678,4812
-41.684,-20.621,4346
-41.204,-20.604,4607
-40.755,-20.640,4264
-41.667,-20.547,4199
-4.142,-20.466,4473
-41.645,-20.351,4047
-41.534,-20.354,4159
-41.242,-20.364,4243
-40.660,-20.361,4057
-40.675,-20.412,4057
-40.494,-2.038,4570
-41.136,-20.328,3967
-40.417,-20.264,4351
-40.314,-20.316,4739
-40.288,-20.342,4853
-4.151,-20.235,3954
-41.126,-20.078,4098
-40.527,-20.100,3854
-40.308,-20.122,4601
-40.744,-20.026,3784
-41.063,-19.900,4270
-40.876,-19.876,4176
-40.598,-19.937,3640
-40.408,-19.938,3857
-40.861,-19.802,4241
-40.386,-19.758,4144
-40.374,-19.837,4144
-40.277,-19.821,4384
-40.653,-19.742,4216
-41.011,-19.522,4529
-40.628,-19.539,4285
-4.055,-19.412,4057
-40.065,-19.395,4350
-40.461,-19.252,3856
-40.337,-19.272,3955
-40.854,-19.223,3991
-40.098,-19.190,4262
-41.017,-19.058,4178
-40.624,-19.144,4149
-4.074,-18.985,4116
-40.537,-19.019,4130
-40.385,-18.996,4117
-41.122,-18.863,4092
-40.076,-18.908,4225
-40.897,-18.755,4176
-40.406,-18.716,4107
-39.858,-18.722,4629
-40.609,-18.610,4075
-39.737,-18.589,4890
-40.986,-18.549,4017
-40.293,-18.539,4219
-4.083,-18.372,4012
-40.218,-18.415,4226
-39.954,-18.300,4343
-40.541,-18.123,4156
-40.519,-18.094,4156
-40.365,-18.127,4271
-51.400,-19.186,5169
-51.550,-19.068,5147
-51.926,-1.897,4995
-50.547,-18.997,5149
-50.654,-18.915,5103
-51.349,-1.877,5128
-50.944,-18.762,5102
-51.133,-18.560,5091
-49.989,-18.487,5149
-4.948,-18.486,5075
-52.665,-18.395,4690
-50.455,-18.448,5055
-5.014,-1.844,5218
-49.216,-18.410,5115
-47.778,-1.836,5306
-51.959,-18.307,4858
-5.115,-18.295,4953
-4.822,-1.834,5224
-48.152,-18.265,5177
-49.740,-18.218,4976
-49.354,-1.818,5010
-47.944,-18.166,5139
-47.834,-18.234,5171
-47.563,-18.154,5317
-50.214,-18.089,5147
-49.041,-18.138,5027
-48.764,-18.080,5113
-4.856,-1.814,5168
-48.256,-18.060,5209
-48.088,-18.136,5191
-50.339,-17.972,5159
-49.366,-1.801,4992
-48.644,-17.979,5119
-51.721,-17.879,4843
-50.303,-17.851,5163
-50.920,-17.793,4903
-50.598,-1.781,5069
-50.166,-17.811,5160
-49.629,-17.807,5025
-48.757,-17.770,5150
-49.805,-17.733,5121
-49.481,-17.729,5111
-49.106,-17.734,5102
-4.863,-17.745,5090
-48.159,-1.772,5066
-52.554,-17.566,4866
-5.064,-17.559,5024
-47.777,-17.637,5037
-52.065,-17.526,4809
-49.449,-17.517,5025
-48.202,-17.466,5204
-52.680,-17.356,4798
-51.173,-17.444,4764
-50.375,-17.396,5045
-49.665,-17.424,5103
-53.202,-17.327,4797
-49.930,-17.341,5082
-49.494,-1.730,5062
-49.380,-17.289,5059
